id,game_publisher_id,platform_id,release_year
4411,2554,5,2009
4412,2613,5,2006
4413,2623,5,2013
4414,2632,5,2007
4415,2639,5,2006
4416,2682,5,2010
4417,2683,5,2012
4418,2723,5,2009
4419,2786,5,2008
4420,2858,5,2009
4421,2882,5,2006
4422,2897,5,2008
4423,2918,5,2007
4424,3023,5,2006
4425,3025,5,2010
4426,3266,5,2010
4427,3279,5,2007
4428,3290,5,2007
4429,3392,5,2012
4430,3412,5,2008
4431,3545,5,2013
4432,3603,5,2010
4433,3781,5,2011
4434,3896,5,2009
4435,3912,5,2008
4436,3939,5,2010
4437,4094,5,2006
4438,4317,5,2007
4439,4375,5,2013
4440,4389,5,2011
4441,4421,5,2008
4442,4536,5,2006
4443,4562,5,2010
4444,4619,5,2007
4445,4678,5,2007
4446,4798,5,2008
4447,4840,5,2012
4448,4848,5,2006
4449,4895,5,2009
4450,5471,5,2008
4451,5505,5,2011
4452,5517,5,2011
4453,5609,5,2012
4454,6087,5,2005
4455,6359,5,2008
4456,6651,5,2013
4457,6897,5,2008
4458,6930,5,2011
4459,7424,5,2009
4460,8840,5,2006
4461,8908,5,2015
4462,8984,5,2007
4463,69,6,2015
4464,74,6,2012
4465,75,6,2010
4466,91,6,2011
4467,102,6,2013
4468,110,6,2011
4469,113,6,2014
4470,175,6,2010
4471,191,6,2016
4472,207,6,2006
4473,218,6,2012
4474,294,6,2013
4475,305,6,2009
4476,328,6,2010
4477,362,6,2015
4478,381,6,2007
4479,389,6,2011
4480,397,6,2012
4481,438,6,2012
4482,446,6,2009
4483,447,6,2010
4484,452,6,2010
4485,481,6,2011
4486,483,6,2010
4487,485,6,2010
4488,488,6,2009
4489,509,6,2008
4490,518,6,2009
4491,519,6,2007
4492,524,6,2008
4493,557,6,2007
4494,634,6,2013
4495,672,6,2015
4496,676,6,2008
4497,700,6,2011
4498,701,6,2014
4499,704,6,2008
4500,714,6,2014
4501,718,6,2008
4502,742,6,2008
4503,754,6,2013
4504,791,6,2007
4505,897,6,2006
4506,910,6,2012
4507,912,6,2006
4508,919,6,2008
4509,1007,6,2009
4510,1008,6,2007
4511,1015,6,2011
4512,1071,6,2008
4513,1079,6,2012
4514,1175,6,2011
4515,1224,6,2010
4516,1229,6,2012
4517,1295,6,2010
4518,1300,6,2007
4519,1307,6,2016
4520,1386,6,2008
4521,1402,6,2014
4522,1417,6,2011
4523,1447,6,2011
4524,1490,6,2009
4525,1499,6,2009
4526,1502,6,2010
4527,1512,6,2012
4528,1521,6,2013
4529,1545,6,2008
4530,1595,6,2007
4531,1601,6,2011
4532,1638,6,2013
4533,1647,6,2011
4534,1665,6,2009
4535,1702,6,2010
4536,1715,6,2009
4537,1744,6,2010
4538,1751,6,2013
4539,1784,6,2011
4540,1810,6,2012
4541,1874,6,2007
4542,1884,6,2010
4543,1933,6,2010
4544,1976,6,2009
4545,1996,6,2007
4546,2025,6,2009
4547,2059,6,2009
4548,2071,6,2010
4549,2121,6,2010
4550,2137,6,2007
4551,2138,6,2006
4552,2147,6,2007
4553,2183,6,2008
4554,2184,6,2008
4555,2186,6,2014
4556,2188,6,2011
4557,2231,6,2011
4558,2287,6,2012
4559,2299,6,2009
4560,2309,6,2008
4561,2441,6,2015
4562,2486,6,2011
4563,2549,6,2014
4564,2554,6,2009
4565,2623,6,2013
4566,2682,6,2010
4567,2683,6,2012
4568,2723,6,2009
4569,2786,6,2008
4570,2858,6,2009
4571,2897,6,2008
4572,2918,6,2007
4573,3266,6,2010
4574,3290,6,2007
4575,3392,6,2012
4576,3412,6,2008
4577,3545,6,2013
4578,3603,6,2010
4579,3657,6,2009
4580,3781,6,2011
4581,3896,6,2009
4582,3912,6,2008
4583,3939,6,2010
4584,4233,6,2007
4585,4317,6,2007
4586,4375,6,2013
4587,4389,6,2011
4588,4421,6,2008
4589,4562,6,2010
4590,4619,6,2007
4591,4678,6,2007
4592,4840,6,2012
4593,4895,6,2009
4594,5367,6,2006
4595,5471,6,2008
4596,5505,6,2011
4597,5517,6,2011
4598,6359,6,2008
4599,6651,6,2013
4600,6897,6,2008
4601,7424,6,2009
4602,8908,6,2015
4603,94,7,2003
4604,103,7,2004
4605,104,7,2002
4606,110,7,2011
4607,157,7,2003
4608,168,7,2003
4609,175,7,2010
4610,185,7,2005
4611,196,7,2002
4612,205,7,2004
4613,207,7,2006
4614,218,7,2005
4615,232,7,2005
4616,240,7,2002
4617,244,7,2006
4618,288,7,2003
4619,292,7,2004
4620,305,7,2009
4621,311,7,2001
4622,319,7,2001
4623,339,7,2002
4624,349,7,2002
4625,354,7,2003
4626,381,7,2007
4627,391,7,2001
4628,446,7,2009
4629,463,7,2001
4630,470,7,2003
4631,483,7,2010
4632,486,7,2004
4633,506,7,2002
4634,509,7,2008
4635,511,7,2004
4636,519,7,2007
4637,524,7,2008
4638,548,7,2003
4639,557,7,2007
4640,586,7,2004
4641,658,7,2002
4642,671,7,2006
4643,676,7,2008
4644,703,7,2003
4645,728,7,2003
4646,729,7,2003
4647,742,7,2008
4648,760,7,2005
4649,772,7,2001
4650,784,7,2005
4651,826,7,2004
4652,829,7,2004
4653,851,7,2001
4654,875,7,2006
4655,894,7,2003
4656,896,7,2000
4657,897,7,2006
4658,905,7,2003
4659,910,7,2000
4660,912,7,2006
4661,913,7,2002
4662,926,7,2002
4663,927,7,2005
4664,934,7,2003
4665,936,7,2004
4666,941,7,2002
4667,943,7,2004
4668,976,7,2001
4669,1005,7,2005
4670,1008,7,2007
4671,1018,7,2002
4672,1058,7,2004
4673,1093,7,2008
4674,1104,7,2004
4675,1105,7,2002
4676,1114,7,2005
4677,1116,7,2004
4678,1127,7,2004
4679,1140,7,2005
4680,1165,7,2002
4681,1173,7,2004
4682,1186,7,2004
4683,1219,7,2006
4684,1229,7,2005
4685,1274,7,2001
4686,1279,7,2006
4687,1309,7,2007
4688,1345,7,2001
4689,1374,7,2002
4690,1393,7,2001
4691,1498,7,2006
4692,1499,7,2009
4693,1506,7,2003
4694,1538,7,2002
4695,1543,7,2005
4696,1545,7,2008
4697,1575,7,2003
4698,1595,7,2007
4699,1598,7,2003
4700,1609,7,2004
4701,1672,7,2003
4702,1685,7,2000
4703,1697,7,2000
4704,1715,7,2009
4705,1722,7,2002
4706,1744,7,2010
4707,1764,7,2002
4708,1772,7,2002
4709,1776,7,2005
4710,1790,7,2003
4711,1797,7,2005
4712,1844,7,2005
4713,1847,7,2002
4714,1874,7,2007
4715,1906,7,2000
4716,1945,7,2000
4717,1996,7,2007
4718,2025,7,2009
4719,2032,7,2005
4720,2091,7,2006
4721,2103,7,2001
4722,2137,7,2007
4723,2138,7,2006
4724,2183,7,2008
4725,2184,7,2008
4726,2297,7,2002
4727,2309,7,2008
4728,2337,7,2005
4729,2352,7,2004
4730,2385,7,2005
4731,2402,7,2001
4732,2522,7,2002
4733,2552,7,2004
4734,2554,7,2009
4735,2585,7,2005
4736,2613,7,2006
4737,2629,7,2006
4738,2632,7,2007
4739,2634,7,2006
4740,2638,7,2001
4741,2639,7,2005
4742,2652,7,2005
4743,2772,7,2005
4744,2778,7,2004
4745,2786,7,2008
4746,2796,7,2004
4747,2826,7,2005
4748,2834,7,2000
4749,2837,7,2003
4750,2843,7,2005
4751,2882,7,2006
4752,2897,7,2008
4753,2910,7,2007
4754,3004,7,2000
4755,3023,7,2006
4756,3145,7,2006
4757,3153,7,2004
4758,3210,7,2003
4759,3267,7,2003
4760,3412,7,2008
4761,3437,7,2005
4762,3667,7,2006
4763,4317,7,2007
4764,4421,7,2008
4765,4619,7,2007
4766,4811,7,2005
4767,4895,7,2009
4768,5118,7,2003
4769,5190,7,2001
4770,5225,7,2001
4771,5333,7,2005
4772,5474,7,2003
4773,5479,7,2003
4774,5624,7,2000
4775,5841,7,2004
4776,5860,7,2002
4777,5923,7,2000
4778,6166,7,2001
4779,6345,7,2002
4780,6384,7,2002
4781,6473,7,2004
4782,6646,7,2001
4783,6679,7,2002
4784,6929,7,2002
4785,6942,7,2006
4786,7237,7,2003
4787,7290,7,2007
4788,7422,7,2002
4789,7490,7,2002
4790,7602,7,2002
4791,7612,7,2000
4792,7654,7,2005
4793,7867,7,2002
4794,9100,7,2005
4795,9223,7,2006
4796,9468,7,2002
4797,9718,7,2007
4798,10476,7,2005
4799,94,9,2003
4800,103,9,2004
4801,185,9,2005
4802,196,9,2002
4803,205,9,2004
4804,207,9,2006
4805,218,9,2005
4806,232,9,2005
4807,240,9,2002
4808,288,9,2001
4809,292,9,2004
4810,339,9,2002
4811,349,9,2003
4812,354,9,2003
4813,391,9,2001
4814,506,9,2002
4815,548,9,2003
4816,586,9,2003
4817,829,9,2004
4818,851,9,2002
4819,894,9,2003
4820,934,9,2003
4821,1140,9,2005
4822,1345,9,2002
4823,1496,9,2003
4824,1609,9,2004
4825,1790,9,2003
4826,1997,9,2003
4827,2337,9,2005
4828,2552,9,2004
4829,2652,9,2005
4830,2796,9,2004
4831,4655,9,2002
4832,5710,9,2003
4833,5841,9,2004
4834,6228,9,2003
4835,6735,9,2002
4836,7867,9,2002
4837,8494,9,2002
4838,9941,9,2006
4839,74,10,2012
4840,75,10,2011
4841,102,10,2013
4842,110,10,2011
4843,113,10,2014
4844,700,10,2011
4845,3549,10,2011
4846,69,11,2015
4847,84,11,2015
4848,102,11,2013
4849,113,11,2014
4850,191,11,2016
4851,294,11,2013
4852,362,11,2015
4853,561,11,2015
4854,634,11,2013
4855,672,11,2015
4856,701,11,2014
4857,714,11,2014
4858,754,11,2013
4859,1307,11,2016
4860,1402,11,2014
4861,1593,11,2014
4862,1806,11,2016
4863,2441,11,2015
4864,2549,11,2014
4865,2886,11,2015
4866,3160,11,2016
4867,4015,11,2016
4868,4966,11,2014
4869,5137,11,2013
4870,5326,11,2016
4871,5832,11,2015
4872,391,12,2001
4873,831,12,1999
4874,849,12,1998
4875,896,12,2000
4876,964,12,1999
4877,991,12,2000
4878,1022,12,1998
4879,1023,12,1999
4880,1110,12,1999
4881,1124,12,1999
4882,1319,12,1998
4883,1322,12,1999
4884,1528,12,1998
4885,1534,12,1999
4886,1861,12,1997
4887,2421,12,1999
4888,2512,12,2000
4889,2563,12,1997
4890,2564,12,1998
4891,2740,12,1998
4892,2953,12,1997
4893,4277,12,1999
4894,7661,12,1998
4895,288,13,2001
4896,364,13,1999
4897,383,13,1998
4898,391,13,2001
4899,447,13,1998
4900,506,13,2002
4901,560,13,1998
4902,588,13,1999
4903,679,13,1999
4904,764,13,1998
4905,772,13,2001
4906,831,13,1998
4907,849,13,1998
4908,896,13,2000
4909,941,13,1998
4910,964,13,1999
4911,991,13,2000
4912,1013,13,1997
4913,1017,13,1997
4914,1019,13,1996
4915,1022,13,1998
4916,1023,13,1998
4917,1030,13,2001
4918,1031,13,1997
4919,1110,13,1999
4920,1124,13,1999
4921,1169,13,1997
4922,1189,13,2000
4923,1205,13,1996
4924,1249,13,1995
4925,1274,13,2000
4926,1282,13,1998
4927,1319,13,1997
4928,1322,13,1998
4929,1332,13,1997
4930,1351,13,1997
4931,1371,13,1996
4932,1393,13,2001
4933,1472,13,1997
4934,1528,13,1997
4935,1534,13,1999
4936,1535,13,1998
4937,1607,13,1997
4938,1631,13,1995
4939,1634,13,1996
4940,1675,13,2000
4941,1685,13,2000
4942,1699,13,1999
4943,1745,13,1997
4944,1842,13,1998
4945,1945,13,2000
4946,1964,13,1997
4947,2014,13,1997
4948,2028,13,1996
4949,2034,13,1999
4950,2113,13,1997
4951,2198,13,1997
4952,2209,13,2000
4953,2221,13,1997
4954,2266,13,1998
4955,2295,13,1998
4956,2296,13,2001
4957,2402,13,2001
4958,2456,13,1998
4959,2500,13,1998
4960,2512,13,1998
4961,2547,13,1997
4962,2591,13,1994
4963,2638,13,2000
4964,2642,13,2000
4965,2779,13,2000
4966,3066,13,1996
4967,3483,13,1999
4968,3862,13,1996
4969,3943,13,1996
4970,3966,13,1999
4971,3980,13,1996
4972,3996,13,2000
